park_date,alien_saucers,dinosaur,expedition_everest,flight_of_passage,kilimanjaro_safaris,navi_river,pirates_of_caribbean,rock_n_rollercoaster,seven_dwarfs_train,slinky_dog,soarin,spaceship_earth,splash_mountain,toy_story_mania,season
2019-03-15,,10.666666666666666,,,,,,,,43.42857142857143,,3.1666666666666665,,,regular
2019-03-16,23.25,,,,,,30.1,,,,,,,,regular
2019-03-17,,,,,,,20.333333333333332,,,,,,,,regular
2019-03-18,,,,,,,19.5,,,,47.666666666666664,,,45.666666666666664,regular
2019-03-19,,,,,15.0,46.666666666666664,,,,47.625,,,18.0,61.5,regular
2019-03-20,,,,,,,28.0,,,,,,,42.166666666666664,regular
2019-03-21,,38.0,,,,,40.333333333333336,,,,26.452380952380953,16.083333333333332,,43.75,regular
2019-03-22,,34.666666666666664,,,,,37.125,,,,,,,,regular
2019-03-23,,7.0,31.666666666666668,,,57.666666666666664,16.875,,,,,,,,regular
2019-03-24,39.166666666666664,,,,17.0,,35.714285714285715,,,,31.875,,,43.666666666666664,regular
2019-03-25,34.5,,,,,,25.444444444444443,,,45.833333333333336,38.625,,,,regular
2019-03-26,,23.5,49.333333333333336,,,,,,,,,13.75,,,regular
2019-03-27,29.4,,,59.0,,,16.25,,,,,,,,regular
2019-03-28,,,,,,,,,,,41.416666666666664,,,37.0,regular
2019-03-29,38.333333333333336,30.0,21.888888888888886,,,,,,,,33.833333333333336,8.75,,,regular
2019-03-30,,,,,,,22.5,,,,38.666666666666664,,,,regular
2019-03-31,31.625,,,,,,19.8,,,51.666666666666664,,,,38.333333333333336,regular
2019-04-01,,,33.833333333333336,,33.666666666666664,53.7,,,,79.66666666666667,,,,,regular
2019-04-02,,,,,,27.166666666666668,31.666666666666668,,,,,,,,regular
2019-04-03,39.0,,,,,,21.0,,,81.0,26.25,17.125,,,regular
2019-04-04,,,,,,,,,,48.0,,,,45.375,regular
2019-04-05,17.333333333333332,19.333333333333332,,,,,17.0625,,54.666666666666664,58.75,,,15.333333333333334,,regular
2019-04-06,11.5,13.666666666666666,,81.33333333333333,28.666666666666668,40.0,21.25,,,34.5,29.0,,,39.875,regular
2019-04-07,,,37.0,,,24.333333333333332,19.291666666666668,,,,19.0,8.166666666666666,,,regular
2019-04-08,30.0,13.5,,,,30.25,14.333333333333334,,,54.333333333333336,,,,,regular
2019-04-09,,,,,,28.0,,,22.75,55.875,,,,22.75,regular
2019-04-10,,,,,,,20.0,,52.833333333333336,32.25,,,28.888888888888886,46.75,regular
2019-04-11,,,,,,28.0,,,,,,,,,regular
2019-04-12,,,,,,,,,,44.0,24.333333333333332,,,25.0,peak
2019-04-13,,,,,,,,,,,,,,30.5,peak
2019-04-14,23.875,,,,,,,,,,,,,28.833333333333332,peak
2019-04-15,,,,,,,,,,71.66666666666667,,,,,peak
2019-04-16,,,,,,,27.125,,,,,,,,peak
2019-04-18,,,,,,,25.333333333333332,,,,,,,46.166666666666664,peak
2019-04-20,,,,,,,25.875,,33.0,,,,,,peak
2019-04-21,,,,,,30.0,23.5,26.666666666666668,,,,,,21.0,peak
2019-04-22,,,23.666666666666668,,,,,,,,,,,57.0,peak
2019-04-23,,,,,,,21.25,,,,35.75,,,,peak
2019-04-24,,,,,,,,,34.5,66.66666666666667,31.666666666666668,,,43.125,peak
2019-04-25,,,,,,,18.5,,,,,12.333333333333334,,,peak
2019-04-26,,,,,,,,,53.25,50.0,,,20.333333333333332,33.166666666666664,peak
2019-04-27,,16.333333333333332,,,18.666666666666668,,21.0,,,,,,22.666666666666668,44.77777777777777,peak
2019-04-28,,16.25,,,,12.133333333333333,15.125,,,,28.0,18.333333333333332,9.333333333333334,28.25,peak
2019-04-29,,,,100.66666666666667,,,21.2,,,26.666666666666668,24.75,,,,peak
2019-04-30,24.0,,,,,,16.3,,,41.7,29.2,,19.333333333333332,32.375,peak
2019-05-01,,20.0,15.8,47.0,,,14.25,,23.0,35.166666666666664,,,,37.166666666666664,regular
2019-05-02,,,,,,,16.333333333333332,,60.125,,,,,28.333333333333332,regular
2019-05-03,28.6,,,,,,14.916666666666666,,36.4,54.5,13.5,,,,regular
2019-05-04,,,,,,,24.2,,,,33.0,,,43.75,regular
2019-05-05,,30.0,,,,,27.375,,,48.666666666666664,26.9,,,,regular
2019-05-06,,38.833333333333336,,,,,,,,51.4,27.722222222222225,,,43.333333333333336,regular
2019-05-07,26.166666666666668,,,,,,,,,40.0,26.333333333333332,,,34.0,regular
2019-05-08,25.333333333333332,17.333333333333332,,84.33333333333333,21.333333333333332,,11.277777777777777,,,35.229166666666664,,,,10.9,regular
2019-05-09,,,,,42.0,,11.5,,,,,,48.666666666666664,,regular
2019-05-10,32.666666666666664,,,,,,,,,51.666666666666664,24.666666666666668,,43.5,37.9,regular
2019-05-11,23.5,,31.833333333333332,,,,,,,,,,,35.166666666666664,regular
2019-05-12,,,18.333333333333332,,19.0,,10.0,,,,,,,22.0,regular
2019-05-13,28.666666666666668,,15.111111111111109,,,,,,,,16.333333333333332,4.5,,36.666666666666664,regular
2019-05-14,,18.77777777777778,,,,,,,,,32.166666666666664,,11.666666666666666,36.5,regular
2019-05-15,28.5,16.0,,84.66666666666667,,44.4,25.2,,,28.535714285714285,,,,30.5,regular
2019-05-16,30.666666666666668,24.25,24.8,61.5,,59.0,19.666666666666668,,,,,,,31.333333333333332,regular
2019-05-17,,,,,,,16.333333333333332,,41.666666666666664,57.333333333333336,29.666666666666664,10.666666666666666,,,regular
2019-05-18,,25.25,9.333333333333334,,,,18.166666666666668,,25.166666666666668,,,8.666666666666666,30.625,,regular
2019-05-19,,,16.5,,,,18.5,43.875,,52.0,,,,21.75,regular
2019-05-20,,37.333333333333336,,,,,22.5,,,,25.375,,,31.0,regular
2019-05-21,15.5,,,,,,14.0,,,39.375,,,,31.583333333333332,regular
2019-05-22,,18.333333333333332,11.333333333333334,,,,13.5,,,31.0,14.0,,,26.8,regular
2019-05-23,34.0,,16.666666666666668,,,,,,,,24.666666666666668,,,,regular
2019-05-24,,,,,,,29.625,,,,28.75,,,20.75,regular
2019-05-25,38.333333333333336,,,60.666666666666664,23.0,,31.3,31.666666666666668,,,,,23.0,32.333333333333336,peak
2019-05-26,,,,,,,22.75,,61.5,,,,39.7,,peak
2019-05-27,,,,,21.25,,14.833333333333332,,,,37.5,,37.5,,peak
2019-05-28,,,,,,,,,,,40.4,,,45.833333333333336,peak
2019-05-29,,20.666666666666668,,,,,29.833333333333332,,,,28.666666666666668,,,,regular
2019-05-30,27.666666666666668,,13.333333333333334,111.25,,29.666666666666668,23.333333333333332,,,54.75,24.0,,,,regular
2019-05-31,,,,,,48.0,24.666666666666664,,,,33.833333333333336,,36.0,,regular
2019-06-01,,,28.333333333333332,,40.666666666666664,32.2,23.75,,29.6,53.7,,,,,regular
2019-06-02,,20.375,33.88888888888889,,,,,,22.0,,,,,,regular
2019-06-03,,,22.666666666666668,,,,24.8,,,,37.666666666666664,,,,regular
2019-06-04,39.666666666666664,,,,41.666666666666664,58.0,31.666666666666668,,,,,,,54.8,regular
2019-06-05,16.333333333333332,20.125,,,,,9.5,,,,,,,48.0,regular
2019-06-06,,,,,33.0,,,,,75.33333333333333,29.75,12.5,,29.0,regular
2019-06-07,,,,,29.0,,19.875,,39.5,55.666666666666664,,,,55.333333333333336,regular
2019-06-08,32.0,,31.0,,23.166666666666668,28.0,20.916666666666668,,,69.5,32.0,16.0,,49.666666666666664,regular
2019-06-09,25.333333333333332,,,51.666666666666664,,,19.5,,,,,,,44.25,regular
2019-06-10,28.6,38.7,,74.0,,44.0,,,,33.5,37.75,,,32.8,regular
2019-06-11,28.666666666666668,,26.166666666666668,83.66666666666667,,,9.833333333333334,,,,42.6,,,43.75,regular
2019-06-12,,,,,,,15.5,,,51.666666666666664,,,31.0,38.0,regular
2019-06-13,,14.888888888888891,,,,,19.083333333333332,,,,20.333333333333332,,,25.5,regular
2019-06-14,,,,116.66666666666667,,,,,29.166666666666668,,23.8,,,,regular
2019-06-15,,9.166666666666666,,94.33333333333333,,,22.75,,,65.5,14.166666666666666,,,32.666666666666664,regular
2019-06-16,,,,,,,5.875,,54.333333333333336,21.666666666666668,27.0,,,,regular
2019-06-17,,,,,,,,,,39.666666666666664,23.0,,,,regular
2019-06-18,,,,,,,,,,,,,,39.1,regular
2019-06-19,,,24.8,,,,23.0,,,,,,,19.333333333333332,regular
2019-06-20,,,,,,,,,,,28.75,,,36.833333333333336,regular
2019-06-21,,,,,,,23.5,,,,18.666666666666668,,,31.166666666666668,regular
2019-06-22,,,,,,,16.1,,65.33333333333333,,,,,,regular
2019-06-23,,,30.25,,,32.0,15.0,,,33.666666666666664,,,,39.125,regular
2019-06-26,,,,,,,26.75,,47.0,,,,,,regular
2019-06-27,30.625,,,,,,33.666666666666664,,,44.6,26.0,,,46.25,regular
2019-06-28,,,,,,,16.333333333333332,,,,,,,27.5,regular
2019-06-29,32.375,,,,,,,,,,37.5,,,,regular
2019-06-30,,,,,,,,,,79.0,,,,,regular
2019-07-01,,,,,,,14.0,,,,32.0,,,39.25,peak
2019-07-02,,42.833333333333336,,,,,,,,,,,,,peak
2019-07-03,,26.0,,,,,16.4,,,,,,,,peak
2019-07-04,,,,,21.75,,,,,,22.666666666666668,,,25.333333333333332,peak
2019-07-05,,,,,,,31.5,,,,26.0,,,,peak
2019-07-06,,24.5,,,,,8.75,,,41.6,23.375,,,,peak
2019-07-07,,,,,,,9.666666666666666,,,,13.833333333333334,2.0,24.333333333333332,54.333333333333336,peak
2019-07-08,,30.5,23.0625,,,,,,,14.666666666666666,12.416666666666666,,,48.0,peak
